order_id,property_id,property_city,property_state,product_id,product_category,product_name,quantity,product_price,order_total
59,13,New Orleans,Louisiana,93,Public Areas,Terminal,2,85,170
60,13,New Orleans,Louisiana,42,Furnishings,Reading Chair,2,70,140
61,1,New York,New York,18,Housekeeping,Coffee Cup,3,24,72
62,2,Cincinnati,Ohio,59,Maintenance,Screws,1,14,14
63,7,Boston,Massachusetts,19,Housekeeping,Light Bulb,2,17,34
64,1,New York,New York,73,Maintenance,Mop,2,15,30
65,6,Orlando,Florida,83,Public Areas,Bar Stool,1,60,60
66,3,Portland,Oregon,74,Public Areas,Large Plant,1,35,35
67,5,Kansas City,Missouri,70,Maintenance,Door Lock,2,117,234
68,6,Orlando,Florida,84,Public Areas,Tall Chair,3,75,225
69,2,Cincinnati,Ohio,48,Furnishings,Side Table,2,40,80
70,14,Nashville,Tennessee,65,Maintenance,Ladder,1,89,89
71,19,Los Angeles,California,30,Office Supplies,Permanent Markers,1,6,6
72,10,Arlington,Virginia,36,Furnishings,Armoire,1,115,115
73,11,Atlanta,Georgia,25,Office Supplies,Envelopes (Legal),3,28,84
74,17,Las Vegas,Nevada,16,Housekeeping,Mouthwash,3,40,120
75,3,Portland,Oregon,27,Office Supplies,Invisible Tape,2,8,16
76,2,Cincinnati,Ohio,44,Furnishings,Floor Lamp,1,55,55
77,18,Phoenix,Arizona,44,Furnishings,Floor Lamp,3,55,165
78,14,Nashville,Tennessee,72,Maintenance,Nails,1,12,12
79,16,Denver,Colorado,39,Furnishings,Alarm Clock,3,45,135
80,8,Philadelphia,Pennsylvania,85,Public Areas,Low Chair,1,80,80
81,2,Cincinnati,Ohio,75,Public Areas,Small Plant,2,25,50
82,7,Boston,Massachusetts,60,Maintenance,Portable Drill,1,195,195
83,20,San Francisco,California,53,Furnishings,Iron,1,20,20
84,11,Atlanta,Georgia,67,Maintenance,Adjustable Wrench,2,10,20
85,20,San Francisco,California,65,Maintenance,Ladder,1,89,89
86,6,Orlando,Florida,94,Public Areas,Monitor,1,70,70
87,14,Nashville,Tennessee,44,Furnishings,Floor Lamp,3,55,165
88,6,Orlando,Florida,58,Furnishings,Mirror,1,85,85
89,9,Richmond,Virginia,59,Maintenance,Screws,3,14,42
90,13,New Orleans,Louisiana,84,Public Areas,Tall Chair,1,75,75
91,16,Denver,Colorado,16,Housekeeping,Mouthwash,3,40,120
92,2,Cincinnati,Ohio,58,Furnishings,Mirror,3,85,255
93,4,Seattle,Washington,73,Maintenance,Mop,1,15,15
94,19,Los Angeles,California,59,Maintenance,Screws,2,14,28
95,12,Dallas,Texas,84,Public Areas,Tall Chair,3,75,225
96,3,Portland,Oregon,92,Public Areas,Large Sign,3,20,60
97,12,Dallas,Texas,34,Furnishings,Shower Curtain,2,5,10
98,12,Dallas,Texas,34,Furnishings,Shower Curtain,3,5,15
99,1,New York,New York,64,Maintenance,Gaffer's Tape,2,27,54
100,10,Arlington,Virginia,24,Office Supplies,Envelopes (Letter),1,24,24
101,12,Dallas,Texas,31,Office Supplies,Sticky Notes,3,20,60
102,8,Philadelphia,Pennsylvania,73,Maintenance,Mop,1,15,15
103,19,Los Angeles,California,78,Public Areas,Small Area Rug,1,20,20
104,11,Atlanta,Georgia,16,Housekeeping,Mouthwash,3,40,120
105,4,Seattle,Washington,50,Furnishings,Small Vase,2,33,66
106,14,Nashville,Tennessee,85,Public Areas,Low Chair,2,80,160
107,16,Denver,Colorado,56,Furnishings,Telephone,2,38,76
108,4,Seattle,Washington,25,Office Supplies,Envelopes (Legal),1,28,28
109,13,New Orleans,Louisiana,90,Public Areas,Luggage Cart,2,138,276
110,3,Portland,Oregon,72,Maintenance,Nails,2,12,24
111,3,Portland,Oregon,39,Furnishings,Alarm Clock,2,45,90
112,15,Chicago,Illinois,10,Housekeeping,Toilet Paper,1,19,19
113,15,Chicago,Illinois,15,Housekeeping,Drinking Glass,3,24,72
114,3,Portland,Oregon,75,Public Areas,Small Plant,1,25,25
115,10,Arlington,Virginia,4,Housekeeping,Shampoo,2,40,80
116,8,Philadelphia,Pennsylvania,47,Furnishings,Swivel Chair,2,75,150
117,15,Chicago,Illinois,34,Furnishings,Shower Curtain,3,5,15
118,13,New Orleans,Louisiana,10,Housekeeping,Toilet Paper,2,19,38
119,17,Las Vegas,Nevada,79,Public Areas,Coffee Table,2,103,206
120,19,Los Angeles,California,72,Maintenance,Nails,3,12,36
121,5,Kansas City,Missouri,5,Housekeeping,Moisturizer,2,40,80
122,13,New Orleans,Louisiana,7,Housekeeping,Hand Soap,3,35,105
123,20,San Francisco,California,22,Office Supplies,Paper Clips,1,3,3
124,10,Arlington,Virginia,2,Housekeeping,Hand Towel,2,5,10
125,11,Atlanta,Georgia,3,Housekeeping,Washcloth,3,3,9
126,16,Denver,Colorado,45,Furnishings,Computer Desk,3,102,306
127,18,Phoenix,Arizona,91,Public Areas,Small Sign,1,14,14
128,11,Atlanta,Georgia,41,Furnishings,Office Chair,2,85,170
129,2,Cincinnati,Ohio,39,Furnishings,Alarm Clock,1,45,45
130,1,New York,New York,56,Furnishings,Telephone,3,38,114
131,4,Seattle,Washington,59,Maintenance,Screws,3,14,42
132,11,Atlanta,Georgia,67,Maintenance,Adjustable Wrench,3,10,30
133,9,Richmond,Virginia,29,Office Supplies,Erasable Markers,3,6,18
134,6,Orlando,Florida,37,Furnishings,Bed (King),2,300,600
135,4,Seattle,Washington,38,Furnishings,Bed (Double),1,250,250
136,15,Chicago,Illinois,36,Furnishings,Armoire,3,115,345
137,15,Chicago,Illinois,66,Maintenance,Wood Glue,1,21,21
138,8,Philadelphia,Pennsylvania,61,Maintenance,Tape Measure,2,8,16
139,8,Philadelphia,Pennsylvania,2,Housekeeping,Hand Towel,3,5,15
140,17,Las Vegas,Nevada,78,Public Areas,Small Area Rug,1,20,20
141,11,Atlanta,Georgia,14,Housekeeping,Pillowcase,3,15,45
142,17,Las Vegas,Nevada,88,Public Areas,Serving Tray,1,6,6
143,14,Nashville,Tennessee,16,Housekeeping,Mouthwash,1,40,40
144,9,Richmond,Virginia,49,Furnishings,Large Vase,3,27,81
145,5,Kansas City,Missouri,69,Maintenance,Door Knob,3,41,123
146,17,Las Vegas,Nevada,16,Housekeeping,Mouthwash,1,40,40
147,8,Philadelphia,Pennsylvania,68,Maintenance,Window Screen,3,30,90
148,3,Portland,Oregon,69,Maintenance,Door Knob,2,41,82
149,8,Philadelphia,Pennsylvania,73,Maintenance,Mop,1,15,15
150,2,Cincinnati,Ohio,45,Furnishings,Computer Desk,3,102,306
151,18,Phoenix,Arizona,77,Public Areas,Large Area Rug,2,40,80
152,10,Arlington,Virginia,93,Public Areas,Terminal,2,85,170
153,17,Las Vegas,Nevada,50,Furnishings,Small Vase,3,33,99
154,20,San Francisco,California,14,Housekeeping,Pillowcase,1,15,15
155,1,New York,New York,52,Furnishings,Ironing Board,3,18,54
156,19,Los Angeles,California,6,Housekeeping,Conditioner,3,40,120
157,9,Richmond,Virginia,56,Furnishings,Telephone,2,38,76
158,14,Nashville,Tennessee,37,Furnishings,Bed (King),3,300,900
159,9,Richmond,Virginia,90,Public Areas,Luggage Cart,3,138,414
160,4,Seattle,Washington,65,Maintenance,Ladder,1,89,89
161,18,Phoenix,Arizona,58,Furnishings,Mirror,2,85,170
162,9,Richmond,Virginia,24,Office Supplies,Envelopes (Letter),2,24,48
163,17,Las Vegas,Nevada,41,Furnishings,Office Chair,2,85,170
164,13,New Orleans,Louisiana,50,Furnishings,Small Vase,2,33,66
165,4,Seattle,Washington,93,Public Areas,Terminal,3,85,255
166,16,Denver,Colorado,82,Public Areas,Business Cards,3,60,180
167,8,Philadelphia,Pennsylvania,13,Housekeeping,Bed Sheet (Double),3,20,60
168,13,New Orleans,Louisiana,42,Furnishings,Reading Chair,1,70,70
169,8,Philadelphia,Pennsylvania,90,Public Areas,Luggage Cart,2,138,276
170,12,Dallas,Texas,14,Housekeeping,Pillowcase,1,15,15
171,7,Boston,Massachusetts,9,Housekeeping,Tissues,1,14,14
172,15,Chicago,Illinois,27,Office Supplies,Invisible Tape,2,8,16
173,17,Las Vegas,Nevada,92,Public Areas,Large Sign,2,20,40
174,19,Los Angeles,California,38,Furnishings,Bed (Double),1,250,250
175,20,San Francisco,California,87,Public Areas,End Table,3,30,90
176,6,Orlando,Florida,1,Housekeeping,Large Towel,1,9,9
177,20,San Francisco,California,67,Maintenance,Adjustable Wrench,2,10,20
178,2,Cincinnati,Ohio,52,Furnishings,Ironing Board,3,18,54
179,20,San Francisco,California,68,Maintenance,Window Screen,1,30,30
180,19,Los Angeles,California,56,Furnishings,Telephone,2,38,76
181,13,New Orleans,Louisiana,81,Public Areas,Flyer Holder,3,3,9
182,5,Kansas City,Missouri,72,Maintenance,Nails,2,12,24
183,9,Richmond,Virginia,16,Housekeeping,Mouthwash,2,40,80
184,5,Kansas City,Missouri,51,Furnishings,Painting,2,85,170
185,2,Cincinnati,Ohio,24,Office Supplies,Envelopes (Letter),1,24,24
186,6,Orlando,Florida,35,Furnishings,Tissue Box,1,25,25
187,20,San Francisco,California,11,Housekeeping,Shower Cap,3,10,30
188,10,Arlington,Virginia,3,Housekeeping,Washcloth,2,3,6
189,14,Nashville,Tennessee,64,Maintenance,Gaffer's Tape,1,27,27
190,12,Dallas,Texas,6,Housekeeping,Conditioner,2,40,80
191,17,Las Vegas,Nevada,70,Maintenance,Door Lock,1,117,117
192,13,New Orleans,Louisiana,60,Maintenance,Portable Drill,2,195,390
193,18,Phoenix,Arizona,68,Maintenance,Window Screen,2,30,60
194,17,Las Vegas,Nevada,62,Maintenance,Leaf Blower,1,202,202
195,8,Philadelphia,Pennsylvania,36,Furnishings,Armoire,1,115,115
196,12,Dallas,Texas,71,Maintenance,Hammer,2,17,34
197,12,Dallas,Texas,54,Furnishings,Chest of Drawers,2,150,300
198,13,New Orleans,Louisiana,52,Furnishings,Ironing Board,1,18,18
199,20,San Francisco,California,58,Furnishings,Mirror,3,85,255
200,16,Denver,Colorado,25,Office Supplies,Envelopes (Legal),2,28,56
201,14,Nashville,Tennessee,27,Office Supplies,Invisible Tape,3,8,24
202,10,Arlington,Virginia,5,Housekeeping,Moisturizer,1,40,40
203,18,Phoenix,Arizona,11,Housekeeping,Shower Cap,2,10,20
204,15,Chicago,Illinois,65,Maintenance,Ladder,2,89,178
205,1,New York,New York,42,Furnishings,Reading Chair,3,70,210
206,18,Phoenix,Arizona,2,Housekeeping,Hand Towel,2,5,10
207,7,Boston,Massachusetts,53,Furnishings,Iron,1,20,20
208,4,Seattle,Washington,8,Housekeeping,Bath Soap,1,35,35
209,2,Cincinnati,Ohio,63,Maintenance,Duct Tape,1,27,27
210,1,New York,New York,3,Housekeeping,Washcloth,3,3,9
211,17,Las Vegas,Nevada,75,Public Areas,Small Plant,3,25,75
212,3,Portland,Oregon,36,Furnishings,Armoire,2,115,230
213,3,Portland,Oregon,33,Furnishings,Towel Rack,3,10,30
214,14,Nashville,Tennessee,58,Furnishings,Mirror,3,85,255
215,5,Kansas City,Missouri,39,Furnishings,Alarm Clock,1,45,45
216,3,Portland,Oregon,54,Furnishings,Chest of Drawers,2,150,300
217,19,Los Angeles,California,81,Public Areas,Flyer Holder,1,3,3
218,17,Las Vegas,Nevada,94,Public Areas,Monitor,2,70,140
219,1,New York,New York,2,Housekeeping,Hand Towel,3,5,15
220,12,Dallas,Texas,36,Furnishings,Armoire,2,115,230
221,1,New York,New York,53,Furnishings,Iron,3,20,60
222,10,Arlington,Virginia,22,Office Supplies,Paper Clips,2,3,6
223,1,New York,New York,6,Housekeeping,Conditioner,3,40,120
224,3,Portland,Oregon,72,Maintenance,Nails,1,12,12
225,2,Cincinnati,Ohio,9,Housekeeping,Tissues,1,14,14
226,8,Philadelphia,Pennsylvania,80,Public Areas,Poster Stand,3,27,81
227,7,Boston,Massachusetts,46,Furnishings,Safe,1,115,115
228,8,Philadelphia,Pennsylvania,71,Maintenance,Hammer,2,17,34
229,15,Chicago,Illinois,30,Office Supplies,Permanent Markers,2,6,12
230,4,Seattle,Washington,39,Furnishings,Alarm Clock,2,45,90
231,3,Portland,Oregon,36,Furnishings,Armoire,1,115,115
232,10,Arlington,Virginia,29,Office Supplies,Erasable Markers,1,6,6
233,9,Richmond,Virginia,64,Maintenance,Gaffer's Tape,1,27,27
234,13,New Orleans,Louisiana,58,Furnishings,Mirror,1,85,85
235,1,New York,New York,5,Housekeeping,Moisturizer,1,40,40
236,20,San Francisco,California,74,Public Areas,Large Plant,3,35,105
237,7,Boston,Massachusetts,33,Furnishings,Towel Rack,2,10,20
238,4,Seattle,Washington,36,Furnishings,Armoire,3,115,345
239,17,Las Vegas,Nevada,34,Furnishings,Shower Curtain,3,5,15
240,3,Portland,Oregon,67,Maintenance,Adjustable Wrench,1,10,10
241,20,San Francisco,California,93,Public Areas,Terminal,1,85,85
242,2,Cincinnati,Ohio,69,Maintenance,Door Knob,2,41,82
243,7,Boston,Massachusetts,53,Furnishings,Iron,2,20,40
244,16,Denver,Colorado,40,Furnishings,Coffee Maker,1,119,119
245,19,Los Angeles,California,15,Housekeeping,Drinking Glass,3,24,72
246,16,Denver,Colorado,92,Public Areas,Large Sign,1,20,20
247,16,Denver,Colorado,39,Furnishings,Alarm Clock,1,45,45
248,16,Denver,Colorado,19,Housekeeping,Light Bulb,2,17,34
249,5,Kansas City,Missouri,49,Furnishings,Large Vase,3,27,81
250,14,Nashville,Tennessee,50,Furnishings,Small Vase,2,33,66
251,14,Nashville,Tennessee,66,Maintenance,Wood Glue,1,21,21
252,14,Nashville,Tennessee,30,Office Supplies,Permanent Markers,1,6,6
253,5,Kansas City,Missouri,12,Housekeeping,Bed Sheet (King),3,29,87
254,7,Boston,Massachusetts,31,Office Supplies,Sticky Notes,1,20,20
255,11,Atlanta,Georgia,78,Public Areas,Small Area Rug,3,20,60
256,9,Richmond,Virginia,42,Furnishings,Reading Chair,1,70,70
257,20,San Francisco,California,65,Maintenance,Ladder,2,89,178
258,6,Orlando,Florida,61,Maintenance,Tape Measure,2,8,16
259,5,Kansas City,Missouri,89,Public Areas,Photograph,2,45,90
260,14,Nashville,Tennessee,47,Furnishings,Swivel Chair,2,75,150
261,17,Las Vegas,Nevada,38,Furnishings,Bed (Double),2,250,500
262,12,Dallas,Texas,19,Housekeeping,Light Bulb,2,17,34
263,12,Dallas,Texas,37,Furnishings,Bed (King),2,300,600
264,13,New Orleans,Louisiana,55,Furnishings,Television,2,200,400
265,14,Nashville,Tennessee,2,Housekeeping,Hand Towel,2,5,10
266,8,Philadelphia,Pennsylvania,91,Public Areas,Small Sign,1,14,14
267,10,Arlington,Virginia,55,Furnishings,Television,1,200,200
268,5,Kansas City,Missouri,55,Furnishings,Television,2,200,400
269,7,Boston,Massachusetts,49,Furnishings,Large Vase,3,27,81
270,8,Philadelphia,Pennsylvania,81,Public Areas,Flyer Holder,2,3,6
271,10,Arlington,Virginia,86,Public Areas,Sofa,2,215,430
272,9,Richmond,Virginia,38,Furnishings,Bed (Double),2,250,500
273,12,Dallas,Texas,58,Furnishings,Mirror,3,85,255
274,5,Kansas City,Missouri,49,Furnishings,Large Vase,1,27,27
275,8,Philadelphia,Pennsylvania,72,Maintenance,Nails,3,12,36
276,19,Los Angeles,California,91,Public Areas,Small Sign,2,14,28
277,12,Dallas,Texas,75,Public Areas,Small Plant,2,25,50
278,1,New York,New York,84,Public Areas,Tall Chair,1,75,75
279,6,Orlando,Florida,51,Furnishings,Painting,3,85,255
280,5,Kansas City,Missouri,5,Housekeeping,Moisturizer,2,40,80
281,14,Nashville,Tennessee,44,Furnishings,Floor Lamp,1,55,55
282,20,San Francisco,California,6,Housekeeping,Conditioner,2,40,80
283,3,Portland,Oregon,61,Maintenance,Tape Measure,2,8,16
284,15,Chicago,Illinois,17,Housekeeping,Clothes Hanger,3,18,54
285,7,Boston,Massachusetts,44,Furnishings,Floor Lamp,2,55,110
286,13,New Orleans,Louisiana,93,Public Areas,Terminal,1,85,85
287,18,Phoenix,Arizona,21,Office Supplies,Printer Paper,3,50,150
288,16,Denver,Colorado,48,Furnishings,Side Table,2,40,80
289,10,Arlington,Virginia,40,Furnishings,Coffee Maker,2,119,238
290,11,Atlanta,Georgia,9,Housekeeping,Tissues,1,14,14
291,10,Arlington,Virginia,12,Housekeeping,Bed Sheet (King),1,29,29
292,8,Philadelphia,Pennsylvania,90,Public Areas,Luggage Cart,3,138,414
293,12,Dallas,Texas,38,Furnishings,Bed (Double),2,250,500
294,19,Los Angeles,California,63,Maintenance,Duct Tape,3,27,81
295,18,Phoenix,Arizona,51,Furnishings,Painting,2,85,170
296,16,Denver,Colorado,70,Maintenance,Door Lock,3,117,351
297,18,Phoenix,Arizona,61,Maintenance,Tape Measure,2,8,16
298,12,Dallas,Texas,14,Housekeeping,Pillowcase,1,15,15
299,4,Seattle,Washington,4,Housekeeping,Shampoo,2,40,80
300,20,San Francisco,California,80,Public Areas,Poster Stand,3,27,81
301,20,San Francisco,California,33,Furnishings,Towel Rack,1,10,10
302,17,Las Vegas,Nevada,65,Maintenance,Ladder,2,89,178
303,16,Denver,Colorado,35,Furnishings,Tissue Box,3,25,75
304,8,Philadelphia,Pennsylvania,67,Maintenance,Adjustable Wrench,1,10,10
305,4,Seattle,Washington,47,Furnishings,Swivel Chair,2,75,150
306,10,Arlington,Virginia,87,Public Areas,End Table,3,30,90
307,19,Los Angeles,California,77,Public Areas,Large Area Rug,1,40,40
308,12,Dallas,Texas,27,Office Supplies,Invisible Tape,3,8,24
309,12,Dallas,Texas,60,Maintenance,Portable Drill,1,195,195
310,5,Kansas City,Missouri,79,Public Areas,Coffee Table,2,103,206
311,17,Las Vegas,Nevada,4,Housekeeping,Shampoo,3,40,120
312,7,Boston,Massachusetts,15,Housekeeping,Drinking Glass,2,24,48
313,5,Kansas City,Missouri,61,Maintenance,Tape Measure,1,8,8
314,15,Chicago,Illinois,38,Furnishings,Bed (Double),1,250,250
315,20,San Francisco,California,75,Public Areas,Small Plant,3,25,75
316,9,Richmond,Virginia,34,Furnishings,Shower Curtain,1,5,5
317,13,New Orleans,Louisiana,94,Public Areas,Monitor,1,70,70
318,15,Chicago,Illinois,69,Maintenance,Door Knob,3,41,123
319,3,Portland,Oregon,9,Housekeeping,Tissues,2,14,28
320,3,Portland,Oregon,43,Furnishings,Table Lamp,1,38,38
321,18,Phoenix,Arizona,21,Office Supplies,Printer Paper,3,50,150
322,18,Phoenix,Arizona,18,Housekeeping,Coffee Cup,1,24,24
323,15,Chicago,Illinois,73,Maintenance,Mop,2,15,30
324,12,Dallas,Texas,18,Housekeeping,Coffee Cup,1,24,24
325,18,Phoenix,Arizona,23,Office Supplies,Printer Toner,1,85,85
326,18,Phoenix,Arizona,67,Maintenance,Adjustable Wrench,2,10,20
327,1,New York,New York,34,Furnishings,Shower Curtain,1,5,5
328,9,Richmond,Virginia,8,Housekeeping,Bath Soap,2,35,70
329,10,Arlington,Virginia,84,Public Areas,Tall Chair,3,75,225
330,14,Nashville,Tennessee,61,Maintenance,Tape Measure,2,8,16
331,10,Arlington,Virginia,91,Public Areas,Small Sign,1,14,14
332,5,Kansas City,Missouri,55,Furnishings,Television,1,200,200
333,18,Phoenix,Arizona,12,Housekeeping,Bed Sheet (King),1,29,29
334,4,Seattle,Washington,8,Housekeeping,Bath Soap,2,35,70
335,12,Dallas,Texas,63,Maintenance,Duct Tape,3,27,81
336,6,Orlando,Florida,43,Furnishings,Table Lamp,3,38,114
337,8,Philadelphia,Pennsylvania,18,Housekeeping,Coffee Cup,1,24,24
338,5,Kansas City,Missouri,62,Maintenance,Leaf Blower,3,202,606
339,7,Boston,Massachusetts,14,Housekeeping,Pillowcase,2,15,30
340,17,Las Vegas,Nevada,36,Furnishings,Armoire,3,115,345
341,19,Los Angeles,California,29,Office Supplies,Erasable Markers,3,6,18
342,4,Seattle,Washington,8,Housekeeping,Bath Soap,2,35,70
343,3,Portland,Oregon,18,Housekeeping,Coffee Cup,1,24,24
344,12,Dallas,Texas,69,Maintenance,Door Knob,1,41,41
345,20,San Francisco,California,42,Furnishings,Reading Chair,1,70,70
346,5,Kansas City,Missouri,84,Public Areas,Tall Chair,1,75,75
347,8,Philadelphia,Pennsylvania,85,Public Areas,Low Chair,2,80,160
348,2,Cincinnati,Ohio,24,Office Supplies,Envelopes (Letter),1,24,24
349,7,Boston,Massachusetts,81,Public Areas,Flyer Holder,1,3,3
350,20,San Francisco,California,54,Furnishings,Chest of Drawers,3,150,450
351,8,Philadelphia,Pennsylvania,5,Housekeeping,Moisturizer,1,40,40
352,2,Cincinnati,Ohio,3,Housekeeping,Washcloth,1,3,3
353,5,Kansas City,Missouri,39,Furnishings,Alarm Clock,1,45,45
354,16,Denver,Colorado,34,Furnishings,Shower Curtain,1,5,5
355,5,Kansas City,Missouri,76,Public Areas,Ficus,2,80,160
356,16,Denver,Colorado,28,Office Supplies,Staples,3,8,24
357,11,Atlanta,Georgia,61,Maintenance,Tape Measure,1,8,8
358,13,New Orleans,Louisiana,42,Furnishings,Reading Chair,1,70,70
359,9,Richmond,Virginia,46,Furnishings,Safe,1,115,115
360,6,Orlando,Florida,24,Office Supplies,Envelopes (Letter),3,24,72
361,7,Boston,Massachusetts,72,Maintenance,Nails,2,12,24
362,2,Cincinnati,Ohio,21,Office Supplies,Printer Paper,3,50,150
363,12,Dallas,Texas,88,Public Areas,Serving Tray,2,6,12
364,20,San Francisco,California,25,Office Supplies,Envelopes (Legal),1,28,28
365,16,Denver,Colorado,2,Housekeeping,Hand Towel,2,5,10
366,4,Seattle,Washington,16,Housekeeping,Mouthwash,3,40,120
367,15,Chicago,Illinois,61,Maintenance,Tape Measure,3,8,24
368,3,Portland,Oregon,89,Public Areas,Photograph,2,45,90
369,7,Boston,Massachusetts,38,Furnishings,Bed (Double),3,250,750
370,6,Orlando,Florida,3,Housekeeping,Washcloth,1,3,3
371,17,Las Vegas,Nevada,64,Maintenance,Gaffer's Tape,2,27,54
372,9,Richmond,Virginia,67,Maintenance,Adjustable Wrench,2,10,20
373,6,Orlando,Florida,27,Office Supplies,Invisible Tape,3,8,24
374,9,Richmond,Virginia,17,Housekeeping,Clothes Hanger,3,18,54
375,4,Seattle,Washington,63,Maintenance,Duct Tape,2,27,54
376,10,Arlington,Virginia,52,Furnishings,Ironing Board,2,18,36
377,16,Denver,Colorado,9,Housekeeping,Tissues,1,14,14
378,5,Kansas City,Missouri,41,Furnishings,Office Chair,3,85,255
379,2,Cincinnati,Ohio,4,Housekeeping,Shampoo,3,40,120
380,9,Richmond,Virginia,65,Maintenance,Ladder,2,89,178
381,16,Denver,Colorado,90,Public Areas,Luggage Cart,1,138,138
382,8,Philadelphia,Pennsylvania,70,Maintenance,Door Lock,1,117,117
383,20,San Francisco,California,47,Furnishings,Swivel Chair,1,75,75
384,9,Richmond,Virginia,87,Public Areas,End Table,1,30,30
385,15,Chicago,Illinois,45,Furnishings,Computer Desk,3,102,306
386,6,Orlando,Florida,7,Housekeeping,Hand Soap,1,35,35
387,20,San Francisco,California,33,Furnishings,Towel Rack,3,10,30
388,20,San Francisco,California,62,Maintenance,Leaf Blower,3,202,606
389,8,Philadelphia,Pennsylvania,16,Housekeeping,Mouthwash,1,40,40
390,14,Nashville,Tennessee,64,Maintenance,Gaffer's Tape,2,27,54
391,7,Boston,Massachusetts,74,Public Areas,Large Plant,1,35,35
392,2,Cincinnati,Ohio,90,Public Areas,Luggage Cart,3,138,414
393,8,Philadelphia,Pennsylvania,22,Office Supplies,Paper Clips,3,3,9
394,4,Seattle,Washington,36,Furnishings,Armoire,3,115,345
